Kehadiran,Part,Tugas,UTS,UAS,NilaiAkhir,Klaster,Silhouette
73.33,75,0,5,40,28,C3,0.555562
100,90,91,90,90,90.3,C1,0.619178
100,90,91,90,85,88.8,C1,0.579716
100,85,91,85,90,88.3,C1,0.634687
100,75,91,65,95,83.8,C1,0.56604
100,80,91,80,95,87.8,C1,0.64706
100,85,91,85,100,91.3,C1,0.654413
100,75,91,70,75,78.8,C2,0.607846
100,85,91,85,95,89.8,C1,0.658216
100,75,91,75,95,85.8,C1,0.609929
100,75,91,25,50,62.3,C2,0.576341
100,85,91,85,95,89.8,C1,0.658216
100,90,91,90,95,91.8,C1,0.635374
100,85,82,85,95,87.1,C1,0.632378
86.67,80,73,80,95,82.4,C1,0.549386
100,75,91,75,70,78.3,C2,0.622438
100,95,18,95,90,70.4,C2,0.509373
100,80,91,60,70,76.3,C2,0.635774
100,75,91,75,95,85.8,C1,0.609929
100,90,91,90,95,91.8,C1,0.635374
100,75,91,70,90,83.3,C1,0.550422
100,85,91,85,90,88.3,C1,0.634687
100,75,91,75,95,85.8,C1,0.609929
100,80,91,55,70,75.3,C2,0.624017
100,85,91,85,95,89.8,C1,0.658216
100,80,91,80,95,87.8,C1,0.64706
100,85,91,85,95,89.8,C1,0.658216
100,80,91,75,60,76.3,C2,0.645015
100,80,91,75,95,86.8,C1,0.629403
100,80,91,80,95,87.8,C1,0.64706
100,85,91,85,95,89.8,C1,0.658216
100,85,91,85,95,89.8,C1,0.658216
100,70,91,70,95,83.8,C1,0.566629
100,90,91,90,90,90.3,C1,0.619178
100,75,91,65,90,82.3,C1,0.525019
100,80,91,80,95,87.8,C1,0.64706
100,95,91,95,100,95.3,C1,0.611836
93.33,90,91,90,85,88.8,C1,0.570245
100,75,91,60,80,78.3,C2,0.577701
80,90,80.5,90,95,88.65,C1,0.557498
100,80,91,80,95,87.8,C1,0.64706
100,80,91,80,100,89.3,C1,0.649092
100,80,91,75,95,86.8,C1,0.629403
86.67,95,36,95,95,77.3,C1,0.507291
100,80,91,80,85,84.8,C1,0.537924
100,85,91,85,90,88.3,C1,0.634687
100,75,91,70,95,84.8,C1,0.590118
100,85,91,85,95,89.8,C1,0.658216
100,75,91,45,75,73.8,C2,0.583518
100,85,89.5,85,95,89.35,C1,0.656399
100,80,73,80,95,82.4,C1,0.569237
100,80,89.5,80,95,87.35,C1,0.644574
93.33,80,91,80,95,87.8,C1,0.6199
86.67,95,82,95,90,89.6,C1,0.560797
100,85,91,85,90,88.3,C1,0.634687
26.67,0,0,0,0,0,C3,0.582199
93.33,85,67,67,67,70.6,C2,0.623542
93.33,85,67,67,67,70.6,C2,0.623542
100,85,85,78,68,78.5,C2,0.677332
100,85,85,72,70,77.9,C2,0.682503
100,85,85,80,72,80.1,C2,0.67495
100,85,85,76,74,79.9,C2,0.683114
100,85,85,76,76,80.5,C2,0.673712
100,85,85,74,72,78.9,C2,0.686561
100,85,85,74,72,78.9,C2,0.686561
100,85,85,84,78,82.7,C2,0.606505
100,85,85,74,72,78.9,C2,0.686561
100,85,85,76,82,82.3,C2,0.597968
100,85,85,78,76,80.9,C2,0.66905
100,85,85,74,80,81.3,C2,0.636399
100,85,85,82,80,82.9,C2,0.593355
100,91,85,84,88,86.9,C1,0.575127
100,85,85,76,78,81.1,C2,0.656482
100,85,85,74,74,79.5,C2,0.682886
100,85,81,67,73,76.6,C2,0.666057
100,85,85,78,76,80.9,C2,0.66905
100,85,85,76,76,80.5,C2,0.673712
100,85,85,78,76,80.9,C2,0.66905
100,85,85,80,82,83.1,C2,0.570702
100,88,85,85,85,85.6,C1,0.541942
100,85,85,75,70,78.5,C2,0.685444
100,85,85,74,68,77.7,C2,0.680719
100,85,85,76,72,79.3,C2,0.686148
100,94,85,84,86,86.9,C1,0.54346
100,85,85,74,77,80.4,C2,0.667085
100,85,85,76,74,79.9,C2,0.683114
100,88,85,82,85,85,C1,0.520128
100,85,85,78,74,80.3,C2,0.679241
100,85,85,82,73,80.8,C2,0.662323
100,85,85,80,84,83.7,C1,0.468589
100,85,83,74,80,80.7,C2,0.640411
93.33,85,82,74,72,78,C2,0.64098
100,85,85,78,74,80.3,C2,0.679241
100,85,83,78,76,80.3,C2,0.670297
100,85,75,72,76,76.7,C2,0.654754
100,85,83,82,73,80.2,C2,0.664018
100,85,85,84,72,80.9,C2,0.65184
100,85,85,78,74,80.3,C2,0.679241
100,85,85,82,73,80.8,C2,0.662323
100,85,85,84,76,82.1,C2,0.628969
100,85,85,74,80,81.3,C2,0.636399
100,85,85,78,73,80,C2,0.681411
100,85,83,78,72,79.1,C2,0.68243
100,85,85,78,70,79.1,C2,0.681247
100,85,83,72,74,78.5,C2,0.680018
100,85,85,78,76,80.9,C2,0.66905
100,85,0,0,70,38,C3,0.448918
100,85,75,72,76,76.7,C2,0.654754
100,85,85,78,75,80.6,C2,0.674977
100,85,85,74,70,78.3,C2,0.685268
100,85,82,74,73,78.3,C2,0.683576
100,85,85,70,70,77.5,C2,0.67797
100,85,85,76,70,78.7,C2,0.684809
100,85,85,72,73,78.8,C2,0.68205
100,85,85,74,70,78.3,C2,0.685268
